value
1547
347
12
5
13
5
387
92
28
25
103
24
12
6
5
15
4
5
5
7
11
5
9
41
13
44
14
6
13
6
5
5
7
4
4
4
3
8
4
5
6
5
5
6
32
4
14
11
6
33
13
37
24
681
116
1718
630
338
355
1357
225
25
14
30
22
15
9
16
14
8
12
13
13
8
15
25
28
20
16
11
29
10
47
23
20
5
20
7
87
40
8
6
61
10
119
35
138
13
879
24
253
29
63
369
60
32
9
11
9
9
30
102
213
14
1683
82
34
174
70
29
124
68
10
60
7
629
1969
386
314
1278
478
18
122
30
48
36
216
93
53
23
25
108
169
40
173
37
351
23
75
32
292
60
2808
79
3538
173
555
203
474
245
30
59
317
192
578
33
24
41
31
22
507
372
364
1306
1274
99
74
154
38
80
24
28
10
14
32
15
23
12
44
15
54
23
48
26
22
7
19
13
15
56
10
31
26
44
17
12
51
14
30
24
16
14
39
18
16
24
19
21
18
9
10
20
655
49
15
33
10
1226
882
686
2251
3449
7610
2531
55
218
11
72
2902
2381
3454
1047
1845
101
75
8
33
6
23
5
843
53
184
302
346
271
110
70
37
56
13
206
42
16
23
22
47
24
59
131
112
23
49
50
11
66
492
27
12
45
32
72
25
15
13
18
156
21
38
32
8
10
63
12
16
17
4
35
10
9
8
17
16
6
15
11
41
44
44
28
207
279
38
9
6
11
9
7
3
6
17
5
7
4
4
11
4
6
4
11
5
8
14
6
3
7
4
7
5
8
4
9
4
9
74
11
108
8
46
16
5
8
25
7
6
8
4
7
4
7
5
13
8
7
10
4
8
7
4
8
3
5
17
4
6
9
5
7
4
18
2
282
35
143
75
176
108
507
41
21
8
5
4
7
5
6
23
8
23
5
7
22
8
31
8
6
11
7
8
5
6
13
9
3
9
5
7
26
15
6
6
5
7
5
7
5
5
17
6
5
10
4
8
13
7
13
7
9
7
5
9
6
9
5
14
5
18
9
9
6
7
4
7
4
8
21
7
5
7
5
4
25
9
25
9
22
5
8
7
16
5
8
58
11
9
22
5
9
4
10
11
18
6
51
21
15
8
10
7
24
39
7
16
9
16
15
72
7
8
8
5
9
3
7
4
10
4
8
2
7
6
9
10
9
42
7
36
7
6
9
30
6
40
11
11
7
42
10
35
8
23
8
42
9
11
14
10
6
24
12
11
3
6
2
5
3
5
3
3
3
4
3
4
3
3
4
3
3
3
3
3
3
2
3
3
7
3
4
6
2
5
3
6
3
4
3
3
4
3
4
4
4
3
3
4
3
3
3
8
3
5
3
3
3
49
4
34
4
9
2
5
3
10
3
8
4
12
4
9
2
8
4
8
2
6
3
5
5
8
7
6
5
6
4
10
4
9
3
9
2
10
4
7
3
10
4
7
2
5
3
12
4
10
2
7
3
9
3
9
2
9
5
5
2
7
3
7
3
15
2
9
4
6
3
5
1
7
2
15
4
14
3
12
4
23
5
13
2
16
4
11
3
8
3
5
4
3
7
3
4
11
3
4
5
4
3
3
2
12
3
4
2
4
3
6
3
4
4
3
3
78
3
30
3
4
5
29
3
3
4
85
4
59
4
10
4
18
2
11
3
7
2
63
5
62
3
20
4
24
3
22
5
23
6
50
6
30
10
213
25
20
13
6
12
6
3
4
3
3
4
4
3
3
3
6
3
3
3
3
3
68
3
4
5
4
6
6
3
6
4
58
17
5
5
5
4
9
4
18
4
8
4
8
2
11
3
5
20
17
16
14
4
26
3
17
3
52
8
10
4
19
4
5
3
9
3
4
4
4
4
5
3
5
2
8
4
239
12
15
11
13
6
9
4
6
4
53
14
40
11
19
17
16
4
28
40
15
51
14
26
22
13
77
7
23
9
34
11
16
4
37
13
159
428
98
1076
2600
531
53
88
27
25
13
11
5
11
5
6
8
10
9
7
7
9
5
9
5
7
14
8
13
8
5
9
6
10
8
7
7
11
5
8
7
7
6
6
8
8
7
7
15
6
10
9
6
8
25
7
4
8
6
7
6
9
5
8
7
6
4
7
4
12
7
13
5
11
4
9
5
7
5
10
5
6
6
7
6
6
5
8
5
8
18
5
42
12
8
13
6
8
6
7
5
6
16
7
15
6
8
13
12
5
6
4
10
4
6
5
7
6
7
26
8
6
7
6
7
11
6
17
8
10
8
7
7
8
7
6
9
8
11
10
12
8
1908
39
40
49
57
6
35
11
163
16
718
36
125
18
108
17
22
44
14
15
86
17
19
13
52
10
138
25
24
51
769
22
27
13
73
9
11
11
200
232
98
10
27
8
58
27
173
24
91
103
69
176
388
17
13
8
2114
58
513
134
22
67
85
47
81
2348
210
3022
558
481
859
126
101
8
48
15
16
87
80
123
64
58
24
43
19
11
63
508
110
2443
78
179
183
327
63
196
15
148
312
238
227
71
172
45
241
140
149
29
10
12
26
46
38
135
81
711
51
37
11
159
71
38
67
43
29
47
44
9
28
22
15
35
16
15
21
8
9
8
5
5
9
4
5
4
5
6
1
4
3
6
9
4
3
5
2
4
6
4
23
3
4
6
36
6
38
7
5
5
6
7
6
4
42
5
107
6
12
5
12
8
11
8
18
5
20
4
39
20
20
9
16
17
21
3
9
3
12
4
13
10
14
8
18
39
7
13
4
9
16
21
6
12
10
5
8
20
9
5
8
8
3
7
9
5
13
6
170
44
7
22
6
13
25
20
35
22
15
21
35
40
22
12
8
14
18
22
38
19
10
12
11
10
11
15
25
12
8
13
10
15
963
146
382
40
473
223
72
369
74
35
231
30
94
157
42
9
19
10
36
6
56
5
19
12
173
21
58
10
65
72
26
25
102
51
74
75
16
7
34
8
52
38
41
12
24
32
22
11
16
25
5
18
30
16
19
3
10
17
41
14
8
5
16
7
11
6
22
12
13
59
12
20
7
26
10
8
10
6
15
6
20
5
34
5
19
8
14
8
22
11
15
14
23
9
26
6
15
9
14
14
14
8
8
13
14
6
20
8
12
8
5
9
11
10
6
10
11
12
8
10
6
10
8
10
5
8
12
8
10
10
7
5
8
22
15
13
8
13
12
10
14
7
34
6
23
7
21
12
5
8
4
11
5
9
17
8
18
12
20
7
28
6
14
13
7
9
6
7
15
6
34
6
23
10
24
10
77
9
26
9
17
9
6
8
10
7
11
7
25
6
5
12
11
7
6
11
37
14
9
18
8
12
15
6
19
5
6
9
11
4
13
8
17
9
27
8
17
4
85
7
98
9
18
7
25
6
26
4
21
5
27
6
21
6
6
13
6
9
9
5
54
8
6
10
3
6
3
8
5
6
5
7
4
6
4
8
6
8
19
7
4
6
4
7
4
9
4
6
5
5
5
9
3
5
44533
787
1230
27
323
51
222
80
75
18
22
10
17
14
22
6
40
13
25
41
13
17
16
17
502
5
7
8
26
15
20
1394
33
38
43
74
19
73
41
83
9
54
42
22
33
267
128
133
125
133
1367
8
54
9
9
10
6
12
6
16
5
194
25
1279
82
425
61
398
76
218
90
148
9
27
5
11
203
102
443
36
82
34
28
166
12
81
34
11
19
18
13
12
10
13
21
9
7
10
6
16
5
22
13
22
74
50
39
33
9
19
24
30
54
19
46
7
16
16
12
21
15
14
10
7
19
6
17
23
28
19
12
11
14
5
14
21
7
23
18
8
4
1031
1060
825
108
57
95
528
505
39
381
65
1180
187
1239
3031
246
393
3424
182
267
469
66
51
23
139
30
9
271
76
27
25
23
61
108
1014
151
48
114
132
48
23
120
184
255
159
30
135
425
44
176
40
10
44
14
10
25
12
19
10
8
11
22
34
6
121
84
34
18
55
15
17
44
8
25
9
9
14
45
7
11
10
14
13
6
7
20
13
10
14
7
7
15
11
12
14
14
17
25
12
14
7
32
8
131
8
145
14
38
7
863
141
137
74
17
130
862
20
134
8
243
37
199
38
26
327
10
17
16
38
30
9
19
34
16
4
22
4
12
6
8
6
16
11
5
9
6
20
3
9
4
5
13
3
7
3
6
5
3
4
4
4
3
3
4
6
3
4
9
3
14
2
9
6
9
6
6
4
7
3
6
7
4
8
7
4
7
3
4
4
4
4
4
4
3
4
4
5
2
3
4
3
3
4
3
3
2
4
2
4
3
3
4
6
3
4
5
3
4
4
3
4
5
3
16
4
6
5
4
9
8
13
3
5
3
3
5
5
3
5
3
4
2
3
4
6
4
7
3
6
6
7
3
5
3
4
5
5
5
3
5
4
3
3
24
5
7
3
5
4
7
2
4
5
5
4
5
4
3
4
3
4
4
3
3
5
4
3
5
4
8
4
4
4
6
3
5
5
2
3
2
5
3
4
2
4
2
3
2
4
4
3
6
3
4
3
2
3
3
3
2
5
4
5
5
4
4
3
3
2
3
3
2
3
3
3
2
3
3
3
4
3
2
2
3
3
3
2
2
2
8
2
7
3
3
3
3
3
5
3
3
4
5
4
3
4
4
4
4
3
3
5
2
3
6
4
2
6
3
5
5
4
3
4
4
4
4
6
3
5
3
4
4
2
3
4
2
3
2
3
2
3
2
3
2
3
14
3
6
2
3
2
3
3
4
4
5
3
3
4
3
4
2
4
4
3
3
2
3
3
3
3
3
2
3
2
3
2
3
1
5
2
4
1
4
2
3
6
5
3
4
11
3
7
4
3
3
4
9
3
3
7
3
2
3
3
2
4
3
4
2
3
2
3
2
4
2
2
2
4
2
3
3
2
3
3
4
4
2
3
2
3
2
3
2
6
1
4
2
4
3
3
3
5
5
4
9
3
3
3
3
3
2
4
2
7
2
3
5
4
2
4
2
2
3
5
2
5
3
4
2
4
2
3
3
4
3
4
2
3
4
4
2
4
2
4
3
4
2
6
3
7
2
3
2
4
2
4
3
3
3
3
2
7
4
3
4
2
3
4
6
3
3
3
3
3
3
3
2
3
3
11
3
3
3
2
4
3
4
4
6
6
6
4
4
3
2
4
2
2
3
3
196
13
4
8
3
4
3
7
3
4
5
8
4
7
3
15
20
18
19
433
370
56
10
37
54
36
10
7
25
11
106
8
29
24
8
14
4
13
7
21
4
17
770
36
800
115
67
17
351
139
262
195
20
269
91
597
647
1994
315
22
353
61
369
206
185
2572
432
1979
108
1075
2435
207
341
142
1442
